id,name,size,serving_per_bag,calorie,carbohydrate,protein,fat,saturated fat,trans fat,sodium,sugar,含麩質之穀物及其製品,堅果類、種子類及其製品,大豆及其製品,奇異果及其製品,牛奶、羊奶及其製品,甲殼類及其製品(蝦類、蟹類),芒果及其製品,芝麻及其製品,花生及其製品,蛋類及其製品,軟體動物類及其製品(頭足類、螺貝類),魚類及其製品,不含牛肉,不含豬肉,不含禽肉,不含海鮮,不含花生,不含堅果,不含芝麻,不含麩質,不含大豆,不含蛋品,不含牛/羊奶,全素,蛋素,奶素,奶蛋素,植物五辛素
367013,五色海藻沙拉,160.0,1,38.4,8.0,1.6,0.0,0.0,0.0,235.0,5.6,1,0,1,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
401863,蕃茄蛋洋芋握沙拉,140.0,1,249.0,24.1,8.7,13.2,2.7,0.0,353.0,5.6,1,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
430204,十品目田園沙拉,180.0,1,71.2,16.2,1.6,0.0,0.0,0.0,30.2,11.9,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
432947,凱薩沙拉,130.0,1,47.2,8.3,1.7,0.8,0.1,0.0,38.5,3.4,1,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
441920,優格鮪魚沙拉,100.0,1,157.0,20.6,4.7,6.2,1.9,0.0,232.0,10.1,0,0,1,0,1,0,0,0,0,1,0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25146,招牌高麗菜鍋貼,56.0,3,106.0,9.9,3.8,5.8,1.6,0.0,225.0,1.5,1,0,1,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
95240,鮮筍排骨湯,320.0,1,159.4,2.9,18.2,8.3,2.9,0.0,490.0,1.9,1,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
153448,雙起司蔥抓餅,130.0,1,403.0,45.8,10.8,19.6,8.5,0.0,590.0,3.5,1,1,1,0,1,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
153452,小滷青蔬,167.0,1,65.0,7.3,2.3,2.8,0.5,0.0,798.0,2.7,1,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
204883,黃金霸王腿條,88.0,1,241.0,10.6,11.3,17.0,5.7,0.0,555.0,0.2,1,0,1,0,1,0,0,0,0,1,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204906,香辣霸王雞球,96.0,1,292.0,16.3,13.6,19.2,7.1,0.0,658.0,0.0,1,0,1,0,1,0,0,0,0,1,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204910,日式唐揚雞,75.0,1,164.0,10.5,11.9,8.3,3.0,0.0,330.0,0.5,1,0,1,0,1,0,0,0,0,1,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204924,匈牙利香草烤雞翅,95.0,1,202.0,1.5,19.4,13.1,3.0,0.0,500.0,0.6,1,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
204938,沙茶香辣雞胗,110.0,1,225.6,5.9,24.4,11.6,1.8,0.0,925.0,5.0,1,1,1,0,0,1,0,1,0,0,0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
204942,蒜香綜合滷味,105.0,1,229.8,6.5,18.6,14.4,3.9,0.0,595.0,3.7,1,0,1,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
289752,日式溫泉蛋,40.0,2,57.0,0.8,5.4,3.6,1.3,0.0,189.0,0.2,1,0,1,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
