id,name,size,serving_per_bag,calorie,carbohydrate,protein,fat,saturated fat,trans fat,sodium,sugar,含麩質之穀物及其製品,堅果類、種子類及其製品,大豆及其製品,奇異果及其製品,牛奶、羊奶及其製品,甲殼類及其製品(蝦類、蟹類),芒果及其製品,芝麻及其製品,花生及其製品,蛋類及其製品,軟體動物類及其製品(頭足類、螺貝類),魚類及其製品
372779,紹興翅小腿,105,1,180,3.2,19.4,9.9,2.7,0,760,2.1,1,0,1,0,1,0,0,0,0,0,0,0
427209,匈牙利風味香草烤雞腿,118,1,150,0.5,24.2,5.7,1.8,0,605,0,1,0,0,0,1,0,0,0,0,1,0,0
515317,香菇雞燉湯,320,1,139,8.3,17,4.2,1,0,1405,1.6,1,0,1,0,0,0,0,0,0,0,0,0
566122,四神豬肚湯,320,1,157,20.5,13.8,2.2,1,0,665.6,0,1,0,1,0,0,0,0,0,0,0,0,0
1531120,蒸蛋湯,340,1,139.4,4.4,13.6,7.5,2.1,0,993,2.7,1,0,1,0,0,0,0,1,0,1,0,0
156414,鮮乳虎皮蛋糕捲,110,1,506.7,47.3,9.4,31.1,12,0,172.5,35.9,1,1,1,0,1,0,1,1,1,1,0,1
263952,牧場直送４．０鮮乳優格,140,1,108.9,13.2,4.2,5.3,3.5,0,53,7.1,0,0,0,0,1,0,0,0,0,0,0,0
414622,經典雙色小泡芙,78,1,219,19.4,5.3,13.3,6.1,0,107,11.1,1,0,1,0,1,0,0,0,0,1,0,0
415755,香草卡士達泡芙,65,1,167,14.7,3.6,10.4,4.8,0,73,8.4,1,0,1,0,1,0,0,0,0,1,0,0
415769,鮮乳脆皮泡芙,81,1,230,25.7,4.1,12.3,7.4,0,98,15,1,1,1,0,1,0,0,0,0,1,0,0
415773,法式檸檬塔,72,1,267,31.6,4.5,13.6,5.8,0,48,18.5,1,0,1,0,1,0,0,0,0,1,0,0
466110,提拉米蘇泡芙,57,1,152,15.4,2.9,8.8,5.7,0,82,7.5,1,0,1,0,1,0,0,0,0,1,0,0
531280,香檸鹽之花熔岩蛋糕,90,1,351.1,33.4,6,21.5,8.3,0,284,22.1,1,1,1,0,1,0,1,1,1,1,0,1
